

=== New Session 2025-05-19 09:35:45 ===
2025-05-19 09:49:28 - 13 no_uturn (75%)
2025-05-19 09:49:28 - 13 no_uturn (79%)
2025-05-19 09:49:29 - 3 go (83%)
2025-05-19 09:49:29 - 3 go (91%)
2025-05-19 09:49:29 - 3 go (90%)
2025-05-19 09:49:30 - 3 go (91%)
2025-05-19 09:49:30 - 3 go (89%)
2025-05-19 09:49:30 - 9 no_right (98%)
2025-05-19 09:49:30 - 9 no_right (95%)
2025-05-19 09:49:31 - 9 no_right (81%)
2025-05-19 09:49:31 - 9 no_right (90%)
2025-05-19 09:49:31 - 9 no_right (99%)
2025-05-19 09:49:31 - 9 no_right (99%)
2025-05-19 09:49:31 - 9 no_right (99%)
2025-05-19 09:49:31 - 9 no_right (89%)
2025-05-19 09:49:31 - 9 no_right (96%)
2025-05-19 09:49:32 - 9 no_right (84%)
2025-05-19 09:49:32 - 9 no_right (78%)
2025-05-19 09:49:32 - 9 no_right (80%)
2025-05-19 09:49:32 - 9 no_right (91%)
2025-05-19 09:49:33 - 9 no_right (94%)
2025-05-19 09:49:33 - 9 no_right (98%)
2025-05-19 09:49:33 - 9 no_right (96%)
2025-05-19 09:49:33 - 13 no_uturn (90%)
2025-05-19 09:49:33 - 13 no_uturn (90%)
2025-05-19 09:49:34 - 13 no_uturn (92%)
2025-05-19 09:49:34 - 13 no_uturn (94%)
2025-05-19 09:49:34 - 13 no_uturn (96%)
2025-05-19 09:49:34 - 13 no_uturn (93%)
2025-05-19 09:49:34 - 13 no_uturn (97%)
2025-05-19 09:49:34 - 13 no_uturn (97%)
2025-05-19 09:49:34 - 13 no_uturn (97%)
2025-05-19 09:49:34 - 13 no_uturn (95%)
2025-05-19 09:49:35 - 13 no_uturn (94%)
2025-05-19 09:49:35 - 13 no_uturn (92%)
2025-05-19 09:49:35 - 13 no_uturn (94%)
2025-05-19 09:49:35 - 13 no_uturn (92%)
2025-05-19 09:49:35 - 13 no_uturn (93%)
2025-05-19 09:49:35 - 3 go (75%)
2025-05-19 09:49:36 - 16 only_right (84%)
2025-05-19 09:49:36 - 9 no_right (91%)
2025-05-19 09:49:41 - 23 speed_limit_50kmph (84%)
2025-05-19 09:49:41 - 23 speed_limit_50kmph (81%)
